service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
1,1,1,1,1,1,0,0,20260803,20260918
2,1,1,1,1,1,0,0,20260803,20260821
3,1,0,0,0,0,0,1,20260802,20260913
5,0,0,0,0,0,1,0,20260801,20260815
6,0,0,0,0,0,0,1,20260802,20260816
11,0,0,0,0,0,0,1,20260802,20260809
16,1,1,1,1,1,0,0,20260824,20260918
17,1,0,0,0,0,0,1,20260823,20260913
18,1,1,1,1,1,1,1,20260820,20260918
19,1,1,1,1,1,0,0,20260803,20260918
20,1,1,1,1,1,1,1,20260801,20260918
21,0,0,0,0,0,1,0,20260801,20260912
22,1,1,1,1,1,0,1,20260820,20260918
23,1,0,0,0,0,1,1,20260801,20260913
24,1,0,0,0,0,1,1,20260822,20260913
25,0,0,0,0,0,1,0,20260822,20260912
26,1,1,1,1,1,0,0,20260803,20260918
27,1,1,1,1,1,0,0,20260820,20260918
28,0,0,0,1,1,0,0,20260827,20260918
29,0,0,0,0,0,0,1,20260802,20260913
32,1,0,0,0,0,0,1,20260802,20260913
33,1,1,1,1,1,0,1,20260803,20260918
34,1,1,1,1,1,0,0,20260824,20260918
37,0,0,0,0,0,0,1,20260823,20260913
38,1,1,1,1,1,0,0,20260803,20260819
39,1,1,1,1,1,0,0,20260908,20260918
40,0,0,0,0,0,1,1,20260822,20260913
41,0,0,0,0,0,1,1,20260801,20260913
43,1,1,1,1,1,0,0,20260803,20260814
44,0,0,0,1,1,0,0,20260820,20260821
45,1,1,1,0,0,0,1,20260816,20260819
46,0,0,0,0,0,0,1,20260816,20260816
47,1,1,1,0,0,0,0,20260817,20260819
48,1,0,0,0,0,0,0,20260907,20260907
49,0,0,0,0,0,1,1,20260801,20260816
50,1,1,1,1,1,0,0,20260824,20260904
51,1,1,1,1,1,1,1,20260822,20260918
