service_id,date,exception_type
1,20260907,2
3,20260803,2
3,20260810,2
3,20260817,2
3,20260824,2
3,20260831,2
17,20260824,2
17,20260831,2
20,20260816,2
20,20260817,2
20,20260818,2
20,20260819,2
23,20260803,2
23,20260810,2
23,20260816,2
23,20260817,2
23,20260824,2
23,20260831,2
24,20260824,2
24,20260831,2
26,20260817,2
26,20260818,2
26,20260819,2
26,20260907,2
27,20260907,2
32,20260803,2
32,20260810,2
32,20260816,2
32,20260817,2
32,20260824,2
32,20260831,2
33,20260809,2
33,20260816,2
33,20260817,2
33,20260818,2
33,20260819,2
34,20260907,2
