route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color,route_sort_order
901,0,,METRO Blue Line,Blue Line - Mpls - Airport - MOA,0,https://www.metrotransit.org/route/blue,00539F,ffffff,1
991,0,,Blue Line Bus,Blue Line Bus,3,https://www.metrotransit.org/route/blubus,00539F,ffffff,2
902,0,,METRO Green Line,Green Line - Mpls - St Paul,0,https://www.metrotransit.org/route/green,008144,ffffff,3
905,0,,METRO Gold Line,Gold Line-St Paul-Woodbury,3,https://www.metrotransit.org/route/gold,FFDF52,000000,4
904,0,,METRO Orange Line,Orange Line-Mpls-Richfield-Bloomington-Burnsville,3,https://www.metrotransit.org/route/orange,F68B1F,000000,5
903,0,,METRO Red Line,Red Line - Apple Valley - Eagan - Mall of America,3,https://www.metrotransit.org/route/red,E71324,ffffff,7
921,0,,METRO A Line,A Line - Roseville - Snelling Av - 46th St,3,https://www.metrotransit.org/route/aline,8A8B8A,000000,8
922,0,,METRO B Line,B Line - Lake St - Selby Av - Union Depot,3,https://www.metrotransit.org/route/bline,8A8B8A,000000,9
923,0,,METRO C Line,C Line - Penn Av - Brooklyn Center,3,https://www.metrotransit.org/route/cline,8A8B8A,000000,10
924,0,,METRO D Line,D Line - Brooklyn Ctr - Fremont - Chicago - MOA,3,https://www.metrotransit.org/route/dline,8A8B8A,000000,11
925,0,,METRO E Line,E Line - U of M - Hennepin - France - Southdale,3,https://www.metrotransit.org/route/eline,8A8B8A,000000,12
906,10,,Airport Shuttle,Light Rail Shuttle - Terminal 1 - Terminal 2,0,https://www.metrotransit.org/route/airprt,00539F,ffffff,13
996,0,,Airport Shuttle Bus,Bus Bridge Shuttle - Terminal 1 - Terminal 2,3,https://www.metrotransit.org/route/airbus,00539F,ffffff,14
2,0,2,,Franklin Av - Riverside Av - U of M - 8th St SE,3,https://www.metrotransit.org/route/2,771473,ffffff,15
3,0,3,,U of M - Como Av - Energy Park Dr - Maryland Av,3,https://www.metrotransit.org/route/3,771473,ffffff,16
4,0,4,,Johnson St - Lyndale Av - Penn Av - Southtown,3,https://www.metrotransit.org/route/4,771473,ffffff,17
5,0,5,,Brooklyn Ctr - Fremont  - Chicago - 56 St Sta,3,https://www.metrotransit.org/route/5,771473,ffffff,18
7,0,7,,Plymouth-27Av-Minnehaha-46St Sta-34Av S-66st/Cedar,3,https://www.metrotransit.org/route/7,771473,ffffff,19
9,0,9,,Glenwood-Wayzata Blvd-Cedar Lk Rd-36Av S-46 St Sta,3,https://www.metrotransit.org/route/9,771473,ffffff,20
10,0,10,,Central Av - University Av - Northtown,3,https://www.metrotransit.org/route/10,771473,ffffff,21
11,0,11,,Columbia Heights - 2nd St NE - 4th Av S,3,https://www.metrotransit.org/route/11,771473,ffffff,22
14,0,14,,Robbinsdale-West Broadway-Bloomington Av-66St/Ceda,3,https://www.metrotransit.org/route/14,771473,ffffff,23
17,0,17,,Minnetonka Blvd - Uptown - Washington St NE,3,https://www.metrotransit.org/route/17,771473,ffffff,24
18,0,18,,Nicollet Av - South Bloomington,3,https://www.metrotransit.org/route/18,771473,ffffff,25
22,0,22,,Brooklyn Ctr - Lyndale Av N - Cedar - 28 Av S - VA,3,https://www.metrotransit.org/route/22,771473,ffffff,26
25,2,25,,Northtown- Stinson- Lake of the Isles,3,https://www.metrotransit.org/route/25,771473,ffffff,27
27,0,27,,Uptown-26St-28St-Hiawatha-Lake,3,https://www.metrotransit.org/route/27,771473,ffffff,28
30,2,30,,Broadway Crosstown - Westgate Sta,3,https://www.metrotransit.org/route/30,771473,ffffff,29
32,0,32,,Robbinsdale - Lowry Av - Rosedale,3,https://www.metrotransit.org/route/32,771473,ffffff,30
33,2,33,,Westgate Sta - Elm St - Kasota Av - SE Mpls Indust,3,https://www.metrotransit.org/route/33,771473,ffffff,31
36,0,36,,Uptown Transit Station - via Xer- 78th and Johnson,3,https://www.metrotransit.org/route/36,771473,ffffff,32
38,0,38,,38th St-Highland Village-Uptown-Hopkins-Opus,3,https://www.metrotransit.org/route/38,771473,ffffff,33
46,1,46,,50St - 46St - 46St Sta,3,https://www.metrotransit.org/route/46,771473,ffffff,34
48,0,48,,Mpls-Robbinsdale-Penn-Duluth/Golden Valley Rd,3,https://www.metrotransit.org/route/48,,,35
54,0,54,,Ltd Stop - W 7 St - Airport - MOA - Maplewood Mall,3,https://www.metrotransit.org/route/54,771473,ffffff,36
61,0,61,,E Hennepin Av - Larpenteur Av - Arcade St,3,https://www.metrotransit.org/route/61,771473,ffffff,37
62,0,62,,Shoreview - Little Canada - Rice St - Signal Hills,3,https://www.metrotransit.org/route/62,771473,ffffff,38
63,0,63,,Raymond Sta - Grand Av - Sun Ray,3,https://www.metrotransit.org/route/63,771473,ffffff,39
64,0,64,,Payne - Maryland - White Bear Av - Maplewood Mall,3,https://www.metrotransit.org/route/64,771473,ffffff,40
65,2,65,,Dale St - Co Rd B - Rosedale,3,https://www.metrotransit.org/route/65,771473,ffffff,41
67,0,67,,W Minnehaha Av - Raymond Sta - Franklin Av,3,https://www.metrotransit.org/route/67,771473,ffffff,42
68,0,68,,Jackson St - Robert St - W St Paul - Inver Hills,3,https://www.metrotransit.org/route/68,771473,ffffff,43
71,2,71,,Little Canada - Westminster- Concord - Inver Hills,3,https://www.metrotransit.org/route/71,771473,ffffff,44
72,2,72,,Midway-Selby Av-Burns Av-Sun Ray,3,https://www.metrotransit.org/route/72,771473,ffffff,45
74,0,74,,46th St - Randolph - W 7th St - E 7th St - Sun Ray,3,https://www.metrotransit.org/route/74,771473,ffffff,46
75,2,75,,Stryker - Robert - Lake Cove Apts,3,https://www.metrotransit.org/route/75,771473,ffffff,47
80,2,80,,Maplewood - White Bear Av - Sun Ray,3,https://www.metrotransit.org/route/80,771473,ffffff,48
83,2,83,,Rosedale - Lexington Av,3,https://www.metrotransit.org/route/83,771473,ffffff,49
