vehicle_id,vehicle_label,vehicle_description,seated_capacity,standing_capacity,door_count,door_width,low_floor,bike_capacity,wheelchair_access,fuel,num_carriages
2050,20001,40LFBUS,38,38,2,normal,True,2,ramp,biodiesel,1
2051,20002,40LFBUS,38,38,2,normal,True,2,ramp,biodiesel,1
2053,20004,40LFBUS,38,38,2,normal,True,2,ramp,biodiesel,1
2054,20005,40LFBUS,38,38,2,normal,True,2,ramp,biodiesel,1
2056,20007,40LFBUS,38,38,2,normal,True,2,ramp,biodiesel,1
2057,20008,40LFBUS,38,38,2,normal,True,2,ramp,biodiesel,1
2062,20013,40LFBUS,38,38,2,normal,True,2,ramp,biodiesel,1
2068,FS-1790,40LFBUS,38,38,2,normal,True,2,ramp,biodiesel,1
2069,FS-1791,40LFBUS,38,38,2,normal,True,2,ramp,biodiesel,1
2070,FS-1792,40LFBUS,38,38,2,normal,True,2,ramp,biodiesel,1
2071,FS-1793,40LFBUS,38,38,2,normal,True,2,ramp,biodiesel,1
2072,FS-1794,40LFBUS,38,38,2,normal,True,2,ramp,biodiesel,1
2073,FS-1795,40LFBUS,38,38,2,normal,True,2,ramp,biodiesel,1
2074,FS-1796,40LFBUS,38,38,2,normal,True,2,ramp,biodiesel,1
2075,FS-1797,40LFBUS,38,38,2,normal,True,2,ramp,biodiesel,1
2076,FS-1798,40LFBUS,38,38,2,normal,True,2,ramp,biodiesel,1
2077,FBV-1799,40LFBUS,38,38,2,normal,True,2,ramp,biodiesel,1
2078,8012,40BRTLFBUS,34,34,2,wide,True,2,ramp,biodiesel,1
2079,3460,ARTICLFBUS,57,55,2,normal,True,2,ramp,biodiesel,1
2080,3461,ARTICLFBUS,57,55,2,normal,True,2,ramp,biodiesel,1
2081,3462,ARTICLFBUS,57,55,2,normal,True,2,ramp,biodiesel,1
2082,3463,ARTICLFBUS,57,55,2,normal,True,2,ramp,biodiesel,1
2083,3464,ARTICLFBUS,57,55,2,normal,True,2,ramp,biodiesel,1
2084,3465,ARTICLFBUS,57,55,2,normal,True,2,ramp,biodiesel,1
2085,3466,ARTICLFBUS,57,55,2,normal,True,2,ramp,biodiesel,1
2093,1880,40LFBUS,36,38,2,normal,True,2,ramp,biodiesel,1
2094,1883,40LFBUS,36,38,2,normal,True,2,ramp,biodiesel,1
2095,1892,40LFBUS,36,38,2,normal,True,2,ramp,biodiesel,1
2096,7357,40LFEBUS,36,41,,,True,2,ramp,electric,1
2097,7365,40LFEBUS,36,41,,,True,2,ramp,electric,1
2121,FS-64327,ARTICLFBUS,57,55,2,normal,True,2,ramp,biodiesel,1
2125,FS-64331,40HFBUS,43,17,2,normal,False,2,lift,biodiesel,1
2126,FS-64332,40HFBUS,43,17,2,normal,False,2,lift,biodiesel,1
2132,FS-64338,40HFBUS,43,17,2,normal,False,2,lift,biodiesel,1
2133,FBV-64339,40HFBUS,43,17,2,normal,False,2,lift,biodiesel,1
2135,1870,40LFBUS,36,38,2,normal,True,2,ramp,biodiesel,1
2136,1872,40LFBUS,36,38,2,normal,True,2,ramp,biodiesel,1
2137,1874,40LFBUS,36,38,2,normal,True,2,ramp,biodiesel,1
2138,1890,40LFBUS,36,38,2,normal,True,2,ramp,biodiesel,1
2139,7350,40LFEBUS,36,41,,,True,2,ramp,electric,1
2140,7354,40LFEBUS,36,41,,,True,2,ramp,electric,1
2141,7367,SUBHFBUS,57,12,1,normal,False,2,lift,biodiesel,1
2167,M-0597,ARTICLFBUS,57,55,2,normal,True,2,ramp,biodiesel,1
2168,PL-60051,ARTICLFBUS,57,55,2,normal,True,2,ramp,biodiesel,1
2169,PL-60052,ARTICLFBUS,57,55,2,normal,True,2,ramp,biodiesel,1
2170,PL-60053,ARTICLFBUS,57,55,2,normal,True,2,ramp,biodiesel,1
2171,PL-60054,ARTICLFBUS,57,55,2,normal,True,2,ramp,biodiesel,1
2172,PL-60055,ARTICLFBUS,57,55,2,normal,True,2,ramp,biodiesel,1
2173,PL-60056,ARTICLFBUS,57,55,2,normal,True,2,ramp,biodiesel,1
2175,8100,ARTICBRTLFBUS,50,55,3,wide,True,2,ramp,diesel,1
2176,8101,ARTICBRTLFBUS,50,55,3,wide,True,2,ramp,diesel,1
2177,8102,ARTICBRTLFBUS,50,55,3,wide,True,2,ramp,diesel,1
2178,8103,ARTICBRTLFBUS,50,55,3,wide,True,2,ramp,diesel,1
2179,8104,ARTICBRTLFBUS,50,55,3,wide,True,2,ramp,diesel,1
2180,8105,ARTICBRTLFBUS,50,55,3,wide,True,2,ramp,diesel,1
2181,8700,ARTICEBRTLFBUS,48,55,3,wide,True,2,ramp,electric,1
2182,8701,ARTICEBRTLFBUS,48,55,3,wide,True,2,ramp,electric,1
2183,8702,ARTICEBRTLFBUS,48,55,3,wide,True,2,ramp,electric,1
2184,8703,ARTICEBRTLFBUS,48,55,3,wide,True,2,ramp,electric,1
2185,8704,ARTICEBRTLFBUS,48,55,3,wide,True,2,ramp,electric,1
2186,8705,ARTICEBRTLFBUS,48,55,3,wide,True,2,ramp,electric,1
2187,8706,ARTICEBRTLFBUS,48,55,3,wide,True,2,ramp,electric,1
2188,8707,ARTICEBRTLFBUS,48,55,3,wide,True,2,ramp,electric,1
2189,SW-5831,40LFBUS,38,38,2,normal,True,2,ramp,biodiesel,1
2190,SW-5832,40LFBUS,38,38,2,normal,True,2,ramp,biodiesel,1
2191,SW-5833,40LFBUS,38,38,2,normal,True,2,ramp,biodiesel,1
2192,SW-5834,40LFBUS,38,38,2,normal,True,2,ramp,biodiesel,1
2193,SW-5835,40HFBUS,43,17,2,normal,False,2,lift,biodiesel,1
2194,SW-5836,40HFBUS,43,17,2,normal,False,2,lift,biodiesel,1
2196,SW-5841,40HFBUS,43,17,2,normal,False,2,lift,biodiesel,1
2197,SW-5839,40HFBUS,43,17,2,normal,False,2,lift,biodiesel,1
2198,SW-5840,40HFBUS,43,17,2,normal,False,2,lift,biodiesel,1
2200,8111,ARTICBRTLFBUS,50,55,3,wide,True,2,ramp,diesel,1
2201,8112,ARTICBRTLFBUS,50,55,3,wide,True,2,ramp,diesel,1
2202,8113,ARTICBRTLFBUS,50,55,3,wide,True,2,ramp,diesel,1
2203,8114,ARTICBRTLFBUS,50,55,3,wide,True,2,ramp,diesel,1
2204,8115,ARTICBRTLFBUS,50,55,3,wide,True,2,ramp,diesel,1
2205,8116,ARTICBRTLFBUS,50,55,3,wide,True,2,ramp,diesel,1
2216,8117,ARTICBRTLFBUS,50,55,3,wide,True,2,ramp,diesel,1
2217,SW-5843,ARTICLFBUS,57,55,2,normal,True,2,ramp,biodiesel,1
2218,SW-5844,ARTICLFBUS,57,55,2,normal,True,2,ramp,biodiesel,1
2219,SW-5845,ARTICLFBUS,57,55,2,normal,True,2,ramp,biodiesel,1
2220,SW-5846,ARTICLFBUS,57,55,2,normal,True,2,ramp,biodiesel,1
2221,SW-5847,ARTICLFBUS,57,55,2,normal,True,2,ramp,biodiesel,1
2222,PL-60120,SUBHFBUS,57,12,1,normal,False,2,lift,biodiesel,1
2223,PL-60121,SUBHFBUS,57,12,1,normal,False,2,lift,biodiesel,1
2224,PL-60122,SUBHFBUS,57,12,1,normal,False,2,lift,biodiesel,1
2225,PL-60123,SUBHFBUS,57,12,1,normal,False,2,lift,biodiesel,1
2226,PL-60124,SUBHFBUS,57,12,1,normal,False,2,lift,biodiesel,1
2227,8150,ARTICBRTLFBUS,50,55,3,wide,True,2,ramp,diesel,1
2228,8021,40BRTLFBUS,34,34,2,wide,True,2,ramp,biodiesel,1
2229,8161,ARTICBRTLFBUS,52,60,3,wide,True,2,ramp,biodiesel,1
2230,8163,ARTICBRTLFBUS,52,60,3,wide,True,2,ramp,biodiesel,1
2231,8071,40HFBUS,43,17,2,normal,False,2,lift,biodiesel,1
2232,8074,40HFBUS,43,17,2,normal,False,2,lift,biodiesel,1
2233,8178,ARTICBRTLFBUS,52,60,3,wide,True,2,ramp,biodiesel,1
2234,8180,ARTICBRTLFBUS,52,60,3,wide,True,2,ramp,biodiesel,1
2235,8189,ARTICBRTLFBUS,52,60,3,wide,True,2,ramp,biodiesel,1
2236,1833,40LFBUS,36,38,2,normal,True,2,ramp,biodiesel,1
2237,1859,40LFBUS,36,38,2,normal,True,2,ramp,biodiesel,1
2238,1868,40LFBUS,36,38,2,normal,True,2,ramp,biodiesel,1
2239,1871,40LFBUS,36,38,2,normal,True,2,ramp,biodiesel,1
2240,1873,40LFBUS,36,38,2,normal,True,2,ramp,biodiesel,1
2241,1878,40LFBUS,36,38,2,normal,True,2,ramp,biodiesel,1
2242,7356,40LFEBUS,36,41,,,True,2,ramp,electric,1
2243,7359,40LFEBUS,36,41,,,True,2,ramp,electric,1
2244,7364,40LFEBUS,36,41,,,True,2,ramp,electric,1
2245,7368,SUBHFBUS,57,12,1,normal,False,2,lift,biodiesel,1
2246,7369,SUBHFBUS,57,12,1,normal,False,2,lift,biodiesel,1
2270,1824,40LFBUS,36,38,2,normal,True,2,ramp,biodiesel,1
2271,1825,40LFBUS,36,38,2,normal,True,2,ramp,biodiesel,1
2272,1826,40LFBUS,36,38,2,normal,True,2,ramp,biodiesel,1
2273,FBV-1800,40LFBUS,38,38,2,normal,True,2,ramp,biodiesel,1
2274,FBV-1801,40LFBUS,38,38,2,normal,True,2,ramp,biodiesel,1
2275,FBV-1802,40LFBUS,38,38,2,normal,True,2,ramp,biodiesel,1
